r,omega,u
50,49.9375,-0.132813
50,49.9375,-0.132813
50,49.9375,-0.132813
50,49.9375,-0.132813
50,49.9375,-0.132813
50,49.9375,-0.132813
50,49.9375,-0.132813
50,49.9375,-0.132813
50,49.9375,-0.132813
50,49.9375,-0.132813
50,49.9375,-0.132813
50,49.9375,-0.128906
50,49.9375,-0.128906
50,49.9375,-0.128906
50,49.9375,-0.128906
50,49.9375,-0.128906
50,49.9375,-0.128906
50,49.9375,-0.128906
50,49.9375,-0.128906
50,49.9375,-0.128906
50,49.9375,-0.128906
50,49.9375,-0.128906
50,49.9375,-0.128906
50,49.9375,-0.128906
50,49.9375,-0.128906
50,49.9375,-0.128906
50,49.9375,-0.128906
50,49.9375,-0.128906
50,49.9375,-0.128906
50,49.9375,-0.128906
50,49.9375,-0.128906
50,49.9375,-0.128906
50,49.9375,-0.125
50,49.9375,-0.125
50,49.9375,-0.125
50,49.9375,-0.125
50,49.9375,-0.125
50,49.9375,-0.125
50,49.9375,-0.125
50,49.9375,-0.125
50,49.9375,-0.125
50,49.9375,-0.125
50,49.9375,-0.125
50,49.9375,-0.125
50,49.9375,-0.125
50,49.9375,-0.125
50,49.9375,-0.125
50,49.9375,-0.125
50,49.9375,-0.125
50,49.9375,-0.121094
50,49.9375,-0.121094
50,49.9375,-0.121094
50,49.9375,-0.121094
50,49.9375,-0.121094
50,49.9375,-0.121094
50,49.9375,-0.121094
50,49.9375,-0.121094
50,49.9375,-0.121094
50,49.9375,-0.121094
50,49.9375,-0.121094
50,49.9375,-0.121094
50,49.9375,-0.121094
50,49.9375,-0.121094
50,49.9375,-0.121094
50,49.9375,-0.117188
50,49.9375,-0.117188
50,49.9375,-0.117188
50,49.9375,-0.117188
50,49.9375,-0.117188
50,49.9375,-0.117188
50,49.9375,-0.117188
50,49.9375,-0.117188
50,49.9375,-0.117188
50,49.9375,-0.117188
50,49.9375,-0.117188
50,49.9375,-0.117188
50,49.9375,-0.117188
50,49.9375,-0.113281
50,49.9375,-0.113281
50,49.9375,-0.113281
50,49.9375,-0.113281
50,49.9375,-0.113281
50,49.9375,-0.113281
50,49.9375,-0.113281
50,49.9375,-0.113281
50,49.9375,-0.113281
50,49.9375,-0.113281
50,49.9375,-0.113281
50,49.9375,-0.113281
50,49.9375,-0.113281
50,49.9375,-0.109375
50,49.9375,-0.109375
50,49.9375,-0.109375
50,49.9375,-0.109375
50,49.9375,-0.109375
50,49.9375,-0.109375
50,49.9375,-0.109375
50,49.9375,-0.109375
50,49.9375,-0.109375
50,49.9375,-0.109375
50,49.9375,-0.109375
50,49.9375,-0.105469
50,49.9375,-0.105469
50,49.9375,-0.105469
50,49.9375,-0.105469
50,49.9375,-0.105469
50,49.9375,-0.105469
50,49.9375,-0.105469
50,49.9375,-0.105469
50,49.9375,-0.105469
50,49.9375,-0.105469
50,49.9375,-0.105469
50,49.9375,-0.101563
50,49.9375,-0.101563
50,49.9375,-0.101563
50,49.9375,-0.101563
50,49.9375,-0.101563
50,49.9375,-0.101563
50,49.9375,-0.101563
50,49.9375,-0.101563
50,49.9375,-0.101563
50,49.9375,-0.101563
50,49.9375,-0.0976563
50,49.9375,-0.0976563
50,49.9375,-0.0976563
50,49.9375,-0.0976563
50,49.9375,-0.0976563
50,49.9375,-0.0976563
50,49.9375,-0.0976563
50,49.9375,-0.0976563
50,49.9375,-0.0976563
50,49.9375,-0.0976563
50,49.9375,-0.09375
50,49.9375,-0.09375
50,49.9375,-0.09375
50,49.9375,-0.09375
50,49.9375,-0.09375
50,49.9375,-0.09375
50,49.9375,-0.09375
50,49.9375,-0.09375
50,49.9375,-0.09375
50,49.9375,-0.0898438
50,49.9375,-0.0898438
50,49.9375,-0.0898438
50,49.9375,-0.0898438
50,49.9375,-0.0898438
50,49.9375,-0.0898438
50,49.9375,-0.0898438
50,49.9375,-0.0898438
50,49.9375,-0.0898438
50,49.9375,-0.0859375
50,49.9375,-0.0859375
50,49.9375,-0.0859375
50,49.9375,-0.0859375
50,49.9375,-0.0859375
50,49.9375,-0.0859375
50,49.9375,-0.0859375
50,49.9375,-0.0859375
50,49.9375,-0.0859375
50,49.9375,-0.0820313
50,49.9375,-0.0820313
50,49.9375,-0.0820313
50,49.9375,-0.0820313
50,49.9375,-0.0820313
50,49.9375,-0.0820313
50,49.9375,-0.0820313
50,49.9375,-0.0820313
50,49.9375,-0.078125
50,49.9375,-0.078125
50,49.9375,-0.078125
50,49.9375,-0.078125
50,49.9375,-0.078125
50,49.9375,-0.078125
50,49.9375,-0.078125
50,49.9375,-0.078125
50,49.9375,-0.0742188
50,49.9375,-0.0742188
50,49.9375,-0.0742188
50,49.9375,-0.0742188
50,49.9375,-0.0742188
50,49.9375,-0.0742188
50,49.9375,-0.0742188
50,49.9375,-0.0742188
0,49.9375,-0.0703125
0,49.9375,-0.242188
0,49.8984,-0.394531
0,49.6875,-0.453125
0,49.1367,-0.394531
0,48.2344,-0.289063
0,47.2344,-0.300781
0,46.2344,-0.359375
0,45.1602,-0.375
0,44.0117,-0.375
0,42.7969,-0.375
0,41.4727,-0.332031
0,40.125,-0.328125
0,38.7734,-0.335938
0,37.4609,-0.363281
0,36.125,-0.351563
0,34.7617,-0.332031
0,33.3594,-0.300781
0,31.9844,-0.300781
0,30.6367,-0.296875
0,29.3359,-0.3125
0,28.0742,-0.320313
0,26.7969,-0.296875
0,25.5625,-0.300781
0,24.3242,-0.28125
0,23.1094,-0.273438
0,21.8984,-0.25
0,20.75,-0.261719
0,19.6719,-0.285156
0,18.5977,-0.269531
0,17.5352,-0.253906
0,16.5,-0.25
0,15.4609,-0.226563
0,14.4609,-0.222656
0,13.5,-0.222656
0,12.5742,-0.222656
0,11.6992,-0.230469
0,10.875,-0.246094
0,10.0469,-0.230469
0,9.22266,-0.210938
0,8.42188,-0.203125
0,7.67188,-0.214844
0,6.9375,-0.207031
0,6.19922,-0.1875
0,5.47266,-0.175781
0,4.79688,-0.183594
0,4.10938,-0.160156
0,3.47266,-0.167969
0,2.89844,-0.1875
0,2.375,-0.207031
0,1.875,-0.214844
0,1.35938,-0.195313
0,0.8125,-0.160156
0,0.261719,-0.144531
0,-0.222656,-0.164063
0,-0.699219,-0.15625
0,-1.125,-0.175781
0,-1.57422,-0.148438
0,-2.07422,-0.101563
0,-2.51172,-0.121094
0,-2.92188,-0.121094
0,-3.28516,-0.136719
0,-3.63672,-0.132813
0,-3.96094,-0.136719
0,-4.25,-0.152344
0,-4.53516,-0.144531
0,-4.85938,-0.113281
0,-5.17188,-0.109375
0,-5.42188,-0.132813
0,-5.63672,-0.152344
0,-5.82422,-0.164063
0,-6.01172,-0.160156
0,-6.21094,-0.152344
0,-6.42188,-0.136719
0,-6.63672,-0.128906
0,-6.8125,-0.144531
0,-6.96094,-0.15625
0,-7.10938,-0.152344
0,-7.3125,-0.117188
0,-7.57422,-0.0703125
0,-7.83594,-0.0507813
0,-8.04688,-0.0625
0,-8.19922,-0.0898438
0,-8.27344,-0.128906
0,-8.33594,-0.132813
0,-8.41016,-0.125
0,-8.5,-0.117188
0,-8.59766,-0.105469
0,-8.69922,-0.101563
0,-8.77344,-0.109375
0,-8.84766,-0.105469
0,-8.92188,-0.101563
0,-8.97266,-0.109375
0,-9.02344,-0.109375
0,-9.0625,-0.113281
0,-9.09766,-0.109375
0,-9.13672,-0.105469
